Name,alpha,delta,e_eps,model,pick_neighbor,test/acc,dataset,Unnamed: 0
2b34b3bd-ea6c-11ed-9aa9-54b20380cf4d,1.0,0.1,2.0,sage,top,81.80206794682422,cora,
fc1eec10-ea6b-11ed-9aa9-54b20380cf4d,0.5,0.25,1.0,gat,top,79.5864106351551,cora,
cbfc7ce3-ea6b-11ed-9aa9-54b20380cf4d,0.0,0.0,2.0,gcn,top,80.90103397341213,cora,
c03ff929-ea6b-11ed-9aa9-54b20380cf4d,0.0,1.0,inf,gat,top,78.78877400295423,cora,
8dc8f7d2-ea6b-11ed-9aa9-54b20380cf4d,0.5,0.1,1.0,gat,top,79.05465288035451,cora,
673a4c6a-ea6b-11ed-9aa9-54b20380cf4d,0.75,0.25,0.1,sage,top,81.83161004431314,cora,
3d963161-ea6b-11ed-9aa9-54b20380cf4d,0.25,1.0,0.1,gat,top,79.36484490398819,cora,
31b80176-ea6b-11ed-9aa9-54b20380cf4d,1.0,0.25,inf,gcn,top,81.71344165435747,cora,
06552da4-ea6b-11ed-9aa9-54b20380cf4d,0.5,0.25,8.0,gat,top,80.28064992614476,cora,
d764109c-ea6a-11ed-9aa9-54b20380cf4d,0.5,0.1,2.0,gcn,top,81.46233382570162,cora,
a90642df-ea6a-11ed-9aa9-54b20380cf4d,0.75,0.5,0.1,gat,top,80.78286558345641,cora,
78eed846-ea6a-11ed-9aa9-54b20380cf4d,0.0,0.5,0.1,gat,top,79.20236336779911,cora,
4b3cc905-ea6a-11ed-9aa9-54b20380cf4d,0.25,0.0,8.0,sage,top,81.81683899556869,cora,
247e481f-ea6a-11ed-9aa9-54b20380cf4d,1.0,0.5,0.1,sage,top,81.83161004431314,cora,
f92a8029-ea69-11ed-9aa9-54b20380cf4d,1.0,0.0,0.1,gcn,top,79.98522895125555,cora,
eccdc709-ea69-11ed-9aa9-54b20380cf4d,0.5,0.1,inf,gat,top,79.49778434268833,cora,
c3db05a2-ea69-11ed-9aa9-54b20380cf4d,0.5,0.5,8.0,gat,top,80.50221565731167,cora,
b81f9b05-ea69-11ed-9aa9-54b20380cf4d,1.0,1.0,inf,gcn,top,81.71344165435747,cora,
9217821e-ea69-11ed-9aa9-54b20380cf4d,1.0,0.5,8.0,sage,top,82.09748892171345,cora,
6920baf0-ea69-11ed-9aa9-54b20380cf4d,0.75,0.5,2.0,gcn,top,81.65435745937961,cora,
4030978f-ea69-11ed-9aa9-54b20380cf4d,0.75,0.1,1.0,sage,top,81.3589364844904,cora,
187259bc-ea69-11ed-9aa9-54b20380cf4d,0.0,0.5,0.1,sage,top,81.506646971935,cora,
0cb7f93f-ea69-11ed-9aa9-54b20380cf4d,0.5,0.25,inf,gcn,top,81.71344165435747,cora,
e08b910f-ea68-11ed-9aa9-54b20380cf4d,0.5,0.5,0.1,gat,top,80.33973412112262,cora,
b9eef28c-ea68-11ed-9aa9-54b20380cf4d,0.75,0.5,8.0,sage,top,82.09748892171345,cora,
8f3df258-ea68-11ed-9aa9-54b20380cf4d,1.0,0.0,2.0,sage,top,81.49187592319053,cora,
